timestamp,y_true,y_pred
2024-02-24 16:00:00+00:00,1.0599,1.0847881128226893
2024-02-24 17:00:00+00:00,0.9969,1.0246616700566271
2024-02-24 18:00:00+00:00,0.9245,0.943558929770893
2024-02-24 19:00:00+00:00,0.8619,0.879220487602784
2024-02-24 20:00:00+00:00,0.8347,0.8531356599707594
2024-02-24 21:00:00+00:00,0.8379,0.8545117824854658
2024-02-24 22:00:00+00:00,0.8205,0.8423869032409698
2024-02-24 23:00:00+00:00,0.8561,0.8792635618470457
2024-02-25 00:00:00+00:00,0.9036,0.921102520187854
2024-02-25 01:00:00+00:00,0.9552,0.9770815464319071
2024-02-25 02:00:00+00:00,1.0035,1.020326431260544
2024-02-25 03:00:00+00:00,1.0921,1.1077346871399876
2024-02-25 04:00:00+00:00,1.1516,1.1631591904873697
2024-02-25 05:00:00+00:00,1.1977,1.2038857585071818
2024-02-25 06:00:00+00:00,1.2397,1.2495044579641295
2024-02-25 07:00:00+00:00,1.274,1.28437197281709
2024-02-25 08:00:00+00:00,1.2754,1.281550452892748
2024-02-25 09:00:00+00:00,1.3078,1.3148048525365692
2024-02-25 10:00:00+00:00,1.3296,1.3429925091519554
2024-02-25 11:00:00+00:00,1.3238,1.3393028233983304
2024-02-25 12:00:00+00:00,1.2904,1.294324042341456
2024-02-25 13:00:00+00:00,1.2939,1.2933762066930925
2024-02-25 14:00:00+00:00,1.2367,1.2418608510866882
2024-02-25 15:00:00+00:00,1.1862,1.1842454309126482
2024-02-25 16:00:00+00:00,1.0986,1.1057645371812759
2024-02-25 17:00:00+00:00,1.0769,1.0783322686279264
2024-02-25 18:00:00+00:00,1.0109,1.0215287922744576
2024-02-25 19:00:00+00:00,0.9732,0.9895540619910705
2024-02-25 20:00:00+00:00,0.9352,0.9581831403197757
2024-02-25 21:00:00+00:00,0.9342,0.9500378414892288
2024-02-25 22:00:00+00:00,0.9635,0.9804160368058144
2024-02-25 23:00:00+00:00,1.0428,1.056659054291806
2024-02-26 00:00:00+00:00,1.1221,1.1405062482189627
2024-02-26 01:00:00+00:00,1.1302,1.15374461694108
2024-02-26 02:00:00+00:00,1.1533,1.1706304194254153
2024-02-26 03:00:00+00:00,1.2656,1.2898933474577452
2024-02-26 04:00:00+00:00,1.2886,1.3159663503212606
2024-02-26 05:00:00+00:00,1.3509,1.385347615153775
2024-02-26 06:00:00+00:00,1.3886,1.4218051477881875
2024-02-26 07:00:00+00:00,1.4379,1.4620400732908987
2024-02-26 08:00:00+00:00,1.5046,1.5331035215063853
2024-02-26 09:00:00+00:00,1.5641,1.5914202248075495
2024-02-26 10:00:00+00:00,1.5278,1.5575392853114738
2024-02-26 11:00:00+00:00,1.4857,1.507884412885662
2024-02-26 12:00:00+00:00,1.4748,1.489988068994322
2024-02-26 13:00:00+00:00,1.4206,1.4480233570311647
2024-02-26 14:00:00+00:00,1.3413,1.3670954218111144
2024-02-26 15:00:00+00:00,1.3209,1.3387298213735472
2024-02-26 16:00:00+00:00,1.2901,1.3100577050059186
2024-02-26 17:00:00+00:00,1.257,1.2776065945015687
2024-02-26 18:00:00+00:00,1.2322,1.247849347428924
2024-02-26 19:00:00+00:00,1.1866,1.2004068431823014
2024-02-26 20:00:00+00:00,1.2234,1.2334550959499515
2024-02-26 21:00:00+00:00,1.2458,1.2514807004481088
2024-02-26 22:00:00+00:00,1.2469,1.2589257821728583
2024-02-26 23:00:00+00:00,1.2796,1.2950454867281196
2024-02-27 00:00:00+00:00,1.3254,1.3465475455214932
2024-02-27 01:00:00+00:00,1.3778,1.3967813529555582
2024-02-27 02:00:00+00:00,1.477,1.4934327890248695
2024-02-27 03:00:00+00:00,1.6212,1.6388483055156282
2024-02-27 04:00:00+00:00,1.6757,1.6854168055647112
2024-02-27 05:00:00+00:00,1.6878,1.7006056752987209
2024-02-27 06:00:00+00:00,1.781,1.7869491541763782
2024-02-27 07:00:00+00:00,1.8359,1.8348425001337947
2024-02-27 08:00:00+00:00,1.8535,1.8560889341555016
2024-02-27 09:00:00+00:00,1.8775,1.8834591541300785
2024-02-27 10:00:00+00:00,1.8667,1.8629137052630653
2024-02-27 11:00:00+00:00,1.8764,1.8777823586530409
2024-02-27 12:00:00+00:00,1.8814,1.8675680855786196
2024-02-27 13:00:00+00:00,1.8361,1.8261534638356816
2024-02-27 14:00:00+00:00,1.8264,1.826284948917048
2024-02-27 15:00:00+00:00,1.755,1.7539109686067098
2024-02-27 16:00:00+00:00,1.6987,1.7078449144705148
2024-02-27 17:00:00+00:00,1.6512,1.663738586354481
2024-02-27 18:00:00+00:00,1.6513,1.66577726890036
2024-02-27 19:00:00+00:00,1.6388,1.6642218113225533
2024-02-27 20:00:00+00:00,1.5845,1.6060613348886759
2024-02-27 21:00:00+00:00,1.5146,1.538412586203897
2024-02-27 22:00:00+00:00,1.5271,1.5482008749198473
2024-02-27 23:00:00+00:00,1.5427,1.558370782545759
2024-02-28 00:00:00+00:00,1.6272,1.6391142921673003
2024-02-28 01:00:00+00:00,1.6685,1.6866559012152575
2024-02-28 02:00:00+00:00,1.6913,1.718296001102955
2024-02-28 03:00:00+00:00,1.7095,1.742395200869256
2024-02-28 04:00:00+00:00,1.7313,1.7575813676272896
2024-02-28 05:00:00+00:00,1.7646,1.7915818399582066
2024-02-28 06:00:00+00:00,1.8437,1.87084706453175
2024-02-28 07:00:00+00:00,1.8756,1.9035144382485136
2024-02-28 08:00:00+00:00,1.9078,1.9322578965672124
2024-02-28 09:00:00+00:00,1.9267,1.951846024088138
2024-02-28 10:00:00+00:00,1.9303,1.957035628415297
2024-02-28 11:00:00+00:00,1.9106,1.9403481654707084
2024-02-28 12:00:00+00:00,1.8866,1.91500003432838
2024-02-28 13:00:00+00:00,1.7863,1.8141381927116083
2024-02-28 14:00:00+00:00,1.6914,1.720613667432786
2024-02-28 15:00:00+00:00,1.6695,1.6931758087820055
2024-02-28 16:00:00+00:00,1.5922,1.6105645820070027
2024-02-28 17:00:00+00:00,1.5398,1.5594291816786012
2024-02-28 18:00:00+00:00,1.5314,1.5458031466522355
2024-02-28 19:00:00+00:00,1.4666,1.4837582956350124
2024-02-28 20:00:00+00:00,1.4551,1.4714070113362585
2024-02-28 21:00:00+00:00,1.4747,1.4914562739323707
2024-02-28 22:00:00+00:00,1.4349,1.4550208018221649
2024-02-28 23:00:00+00:00,1.4607,1.4795539483065783
2024-02-29 00:00:00+00:00,1.454,1.4708121803922758
2024-02-29 01:00:00+00:00,1.4697,1.4888331722895536
2024-02-29 02:00:00+00:00,1.5101,1.5359421018866068
2024-02-29 03:00:00+00:00,1.5597,1.5761244081863308
2024-02-29 04:00:00+00:00,1.5794,1.6046813644653977
